id,value
id_0,39.1796050173
id_1,13.2926172382
id_2,8.91015860128
id_3,14.8507603967
id_4,26.8022347428
id_5,107.691953275
id_6,28.5039392488
id_7,36.7776961692
id_8,40.0596553634
id_9,21.0104119926
id_10,26.8400866675
id_11,41.5924881747
id_12,39.850880856
id_13,15.6034371916
id_14,25.2520663723
id_15,41.4227400747
id_16,33.3099759578
id_17,53.9154855157
id_18,24.4531224816
id_19,10.385976866
id_20,30.4551276062
id_21,33.5424093078
id_22,48.2667613312
id_23,44.4438550467
id_24,18.8847110049
id_25,12.2459036036
id_26,46.9453211632
id_27,32.9435848848
id_28,65.7511140647
id_29,17.9579635397
id_30,14.2446301686
id_31,43.3882298735
id_32,35.5555344579
id_33,32.3176807282
id_34,54.1612565422
id_35,37.0120176282
id_36,13.996094222
id_37,50.5069966574
id_38,21.2149916409
id_39,4.79333904218
id_40,25.2447099651
id_41,4.34277176062
id_42,46.7307559414
id_43,34.0078758764
id_44,50.805008011
id_45,42.1875980093
id_46,36.8787404642
id_47,21.8622113163
id_48,24.1001094351
id_49,60.4377267445
id_50,25.9802695509
id_51,51.4102752951
id_52,19.8036840604
id_53,31.6830993135
id_54,15.7339650239
id_55,38.1502585016
id_56,41.9140584263
id_57,25.755235831
id_58,27.9333516635
id_59,14.7565702694
id_60,61.4786125693
id_61,86.0560504463
id_62,37.1033480713
id_63,21.9750192833
id_64,19.033040507
id_65,40.9576599349
id_66,37.9886755143
id_67,13.0129666488
id_68,54.2791838887
id_69,6.63436947745
id_70,14.3601301468
id_71,28.0341477721
id_72,29.8027472461
id_73,12.1749131856
id_74,45.8613784159
id_75,61.2999641005
id_76,9.34017263623
id_77,38.7351927007
id_78,73.170008024
id_79,43.8713067423
id_80,47.7848313953
id_81,23.2923436731
id_82,14.5528515718
id_83,41.2588110217
id_84,11.1982410979
id_85,10.8846560906
id_86,31.9571466286
id_87,86.4612323467
id_88,30.6607972743
id_89,47.9363265236
id_90,19.6563853537
id_91,67.7262993263
id_92,57.3958872891
id_93,8.47419207052
id_94,22.5169393731
id_95,29.2092803686
id_96,22.0794856606
id_97,12.0045670891
id_98,16.5570529238
id_99,36.6792705358
id_100,22.1221167258
id_101,49.2155112988
id_102,31.9445084493
id_103,35.8221916772
id_104,33.7613013812
id_105,27.3503918722
id_106,15.4237271375
id_107,37.1242635253
id_108,10.3028011931
id_109,73.9889095169
id_110,30.6546347027
id_111,69.6597981786
id_112,18.7121390433
id_113,22.2069596414
id_114,26.3475861276
id_115,34.871701097
id_116,32.8984492497
id_117,26.2041854563
id_118,25.8803733674
id_119,44.5625619261
id_120,23.3569142945
id_121,35.9350026314
id_122,63.5482212781
id_123,3.62709422228
id_124,40.4585132306
id_125,4.62999195986
id_126,27.8191203157
id_127,16.2625678445
id_128,27.8374589292
id_129,50.9336753577
id_130,6.93951950655
id_131,47.0715079749
id_132,17.597824075
id_133,3.09782838763
id_134,23.7021350513
id_135,27.1768532242
id_136,67.9883923788
id_137,92.5274795607
id_138,29.6912557767
id_139,55.6855537323
id_140,74.4371449976
id_141,18.0701976927
id_142,45.2404016729
id_143,31.6084696505
id_144,31.0293651305
id_145,16.74765729
id_146,38.1771585894
id_147,48.9222024442
id_148,31.9261186094
id_149,19.599864147
id_150,43.9118958202
id_151,37.6266167422
id_152,59.0475704765
id_153,23.776477625
id_154,11.7145511378
id_155,62.9334045503
id_156,13.8373958227
id_157,26.9224946246
id_158,43.9072217045
id_159,24.7336940614
id_160,12.3332703438
id_161,102.987070002
id_162,56.6118376065
id_163,31.5588100629
id_164,37.5045255236
id_165,34.8961882798
id_166,49.5164564566
id_167,56.5154590791
id_168,12.6490786464
id_169,22.077338941
id_170,33.5696475933
id_171,29.6290583265
id_172,28.4746635355
id_173,35.9854965326
id_174,85.4821507651
id_175,52.8219728825
id_176,18.3737579992
id_177,23.5723391664
id_178,71.5267704259
id_179,27.9762611664
id_180,15.8517346011
id_181,28.340117017
id_182,23.2700182879
id_183,23.9837793895
id_184,13.157873595
id_185,37.0924031032
id_186,35.7231735765
id_187,47.7154659088
id_188,72.674742731
id_189,60.2727452085
id_190,6.20861899858
id_191,25.7231939573
id_192,15.6309941291
id_193,31.8666340092
id_194,27.8323512022
id_195,16.5897827952
id_196,15.8490495722
id_197,14.5003557949
id_198,22.6582369125
id_199,13.2461300324
id_200,8.18681794885
id_201,29.9171839403
id_202,35.4042093639
id_203,72.8618527561
id_204,31.5451999467
id_205,19.3431123979
id_206,58.9252571592
id_207,49.2334917175
id_208,25.7321815442
id_209,27.70700857
id_210,44.1937213752
id_211,33.9688528947
id_212,29.9251822373
id_213,44.0808623971
id_214,13.9162644922
id_215,7.51072347884
id_216,47.3017309348
id_217,7.11678511009
id_218,33.0022133876
id_219,100.254635168
id_220,51.7492274383
id_221,17.2796939162
id_222,37.6695701787
id_223,93.1126570634
id_224,32.3191200026
id_225,15.4351668324
id_226,16.2531872771
id_227,50.7149530159
id_228,33.7601771222
id_229,34.7684328824
id_230,10.266143969
id_231,30.9635558353
id_232,10.3221049913
id_233,33.5304542753
id_234,55.7542712563
id_235,21.6315635894
id_236,15.8394672187
id_237,15.4597881587
id_238,12.4524583863
id_239,33.9563349895
id_240,27.3008979175
id_241,70.3915290906
id_242,38.4260520089
id_243,34.6785816056
id_244,60.9095699428
id_245,43.773318434
id_246,42.2304746561
id_247,49.6467176527
id_248,18.9908368976
id_249,3.55340848434
id_250,15.7375181152
id_251,38.6564739362
id_252,11.8290243145
id_253,24.2354303204
id_254,14.9651919004
id_255,31.2764773728
id_256,36.9081250988
id_257,5.46255474372
id_258,30.2120131162
id_259,40.0979535282
