id,value
id_0,29.5626078097
id_1,10.8308431897
id_2,7.18325695143
id_3,13.0044971352
id_4,24.3879949641
id_5,59.7238397633
id_6,18.5901124706
id_7,28.7173883505
id_8,20.245898155
id_9,18.9214383546
id_10,26.9315743814
id_11,31.8974772353
id_12,18.6510987847
id_13,12.7977495421
id_14,23.1600999279
id_15,35.0023384454
id_16,19.7517008515
id_17,61.8169451019
id_18,14.6536931819
id_19,9.66341339791
id_20,24.1438340616
id_21,24.996785867
id_22,53.4709586724
id_23,22.6842272482
id_24,20.5996960868
id_25,18.9222783494
id_26,45.1180312466
id_27,20.4233500607
id_28,51.1916543844
id_29,26.2413854119
id_30,16.2462250909
id_31,39.5154515248
id_32,33.1935063406
id_33,42.6422069586
id_34,66.299928036
id_35,25.7149511518
id_36,15.898661908
id_37,27.6863983534
id_38,13.9974313778
id_39,-2.71934968504
id_40,29.2987737315
id_41,13.3663446907
id_42,41.4741621399
id_43,27.2525364656
id_44,86.3175368419
id_45,18.4734673954
id_46,39.7341274677
id_47,18.4993782235
id_48,29.3568606411
id_49,67.0020287009
id_50,25.6319964317
id_51,62.6776507793
id_52,29.1732400573
id_53,26.2601910544
id_54,17.273640646
id_55,36.3179221035
id_56,21.6525374403
id_57,36.6785145736
id_58,48.8970821408
id_59,18.222717562
id_60,65.7812763921
id_61,71.1341734449
id_62,44.1936502362
id_63,19.49012877
id_64,8.20339607493
id_65,49.7659056786
id_66,30.0333370428
id_67,9.27101952613
id_68,57.4426094536
id_69,-0.331959934068
id_70,24.5095857635
id_71,10.3474053496
id_72,37.4036649071
id_73,15.4838635481
id_74,43.8277765643
id_75,65.6195839114
id_76,15.9906934558
id_77,45.5671374945
id_78,62.5066663143
id_79,38.2604677797
id_80,44.7093963523
id_81,31.0870077925
id_82,10.9702859573
id_83,67.2423724712
id_84,3.91956162617
id_85,3.69835185753
id_86,30.9333170688
id_87,82.3459806126
id_88,34.967289051
id_89,34.2922952776
id_90,9.88398974086
id_91,59.0066783553
id_92,38.4306578024
id_93,6.97918808721
id_94,29.0527391591
id_95,27.5567200736
id_96,20.1176519816
id_97,14.2766230753
id_98,12.4975516947
id_99,45.8995263446
id_100,19.720884012
id_101,40.6738850808
id_102,20.9241181812
id_103,41.0999715316
id_104,24.4793885656
id_105,28.6058886945
id_106,13.6021878082
id_107,32.8174032352
id_108,18.1315335441
id_109,55.0113260956
id_110,27.3370792423
id_111,63.9372140449
id_112,27.8770275346
id_113,12.6394735834
id_114,37.4077723931
id_115,29.0111167126
id_116,29.2201642672
id_117,7.81684951626
id_118,20.840818858
id_119,54.2269432728
id_120,7.00954018412
id_121,20.0096250225
id_122,92.7987654131
id_123,8.60692465851
id_124,30.40431875
id_125,8.71274214555
id_126,18.943048415
id_127,11.3577438575
id_128,28.7048876475
id_129,47.3520930464
id_130,8.12145811846
id_131,44.3207648164
id_132,17.9574002731
id_133,8.51801960715
id_134,29.213868991
id_135,27.0884297768
id_136,74.994389786
id_137,67.6612599706
id_138,23.100561396
id_139,44.8440073454
id_140,81.1121029759
id_141,18.6369356067
id_142,35.5875526526
id_143,25.5016854265
id_144,25.9721509793
id_145,11.2028692604
id_146,27.4714858773
id_147,44.1042083696
id_148,35.9233199431
id_149,10.9477333382
id_150,54.6012539477
id_151,43.8970679402
id_152,44.1114779684
id_153,26.3238865986
id_154,5.2337497788
id_155,34.8168709751
id_156,12.4091767715
id_157,19.9453903201
id_158,39.9391355988
id_159,10.6086991397
id_160,13.9363261254
id_161,83.6735935283
id_162,65.4308011309
id_163,43.6238553044
id_164,27.8830049547
id_165,32.842661454
id_166,62.9671708304
id_167,51.5798431027
id_168,7.52269408626
id_169,20.3624517858
id_170,29.0535836819
id_171,22.5537946187
id_172,27.6043486116
id_173,35.3595405569
id_174,70.0682392705
id_175,62.2540554014
id_176,21.223152001
id_177,25.4617250123
id_178,44.5415150252
id_179,25.2570341422
id_180,17.481459995
id_181,36.258302295
id_182,22.6036080984
id_183,29.6610023426
id_184,22.8566244555
id_185,34.3578651194
id_186,31.7085676191
id_187,36.6721725067
id_188,63.9930586957
id_189,64.0003863864
id_190,15.1386378447
id_191,22.6786228363
id_192,16.3838196681
id_193,26.5081543649
id_194,27.9161959914
id_195,9.93835528489
id_196,16.7156816369
id_197,9.45922529388
id_198,23.9599120981
id_199,11.9188738854
id_200,5.7759256881
id_201,26.8639280943
id_202,64.4827189692
id_203,61.6344362354
id_204,14.1800242104
id_205,10.1452327273
id_206,27.3714540076
id_207,57.4605978542
id_208,16.5056230146
id_209,30.6053250251
id_210,35.2266769301
id_211,34.3902964558
id_212,32.7948059596
id_213,13.9519353201
id_214,30.9906680464
id_215,3.14856568232
id_216,55.973724546
id_217,7.88027601011
id_218,26.618585473
id_219,66.4429377319
id_220,49.2787418197
id_221,11.6486963265
id_222,34.6576942033
id_223,81.2538292317
id_224,34.3869869161
id_225,6.85247437378
id_226,17.4460154877
id_227,43.0808587256
id_228,18.7426237413
id_229,29.1149471457
id_230,-1.22984160627
id_231,20.9529913568
id_232,15.3345678432
id_233,24.0427389184
id_234,56.53665878
id_235,12.3591877076
id_236,17.6845192272
id_237,12.4792696441
id_238,8.7716605011
id_239,16.3909906579
id_240,40.1087728699
id_241,70.715198857
id_242,28.7513967485
id_243,36.7056366163
id_244,59.2727960195
id_245,45.0917871085
id_246,30.5386278972
id_247,43.2567392902
id_248,10.3851434441
id_249,9.21717191388
id_250,17.1628715538
id_251,35.7202933373
id_252,12.0454880618
id_253,21.9443092341
id_254,19.3601288172
id_255,31.3371257367
id_256,24.3831441944
id_257,-2.634607751
id_258,32.6420740861
id_259,36.4985400104
