id,value
id_0,31.992804967
id_1,16.1936481369
id_2,13.745306545
id_3,18.1825876869
id_4,21.6107424687
id_5,78.3014324515
id_6,28.7210325302
id_7,28.1380212439
id_8,36.1968398525
id_9,15.8454206204
id_10,28.1927044563
id_11,32.3002020055
id_12,34.1644081762
id_13,14.9703312509
id_14,24.3645697747
id_15,44.1727481017
id_16,24.9091376308
id_17,51.3356772289
id_18,22.2267975969
id_19,10.1239399785
id_20,22.7461166208
id_21,24.5757177409
id_22,47.5450733453
id_23,37.7522962268
id_24,16.7575714603
id_25,15.3837716147
id_26,40.4887511469
id_27,33.6466321601
id_28,48.8899567254
id_29,20.7360282391
id_30,20.5092516397
id_31,32.5277626947
id_32,31.9785278579
id_33,21.4571621645
id_34,51.3222155142
id_35,34.7242104128
id_36,16.7949856833
id_37,39.0607747061
id_38,24.8700042189
id_39,7.61085679674
id_40,25.4077313241
id_41,9.74154957029
id_42,42.8957050313
id_43,29.58977088
id_44,35.6772681713
id_45,34.1669254382
id_46,34.8660247755
id_47,21.3358940706
id_48,25.339162354
id_49,45.3953418514
id_50,22.7052241014
id_51,44.8608706728
id_52,28.4400896875
id_53,26.8982168538
id_54,18.0738193304
id_55,27.555384735
id_56,34.1817283224
id_57,25.2771269835
id_58,30.3707952065
id_59,10.0893514204
id_60,56.7488042156
id_61,72.9122265568
id_62,29.0103209315
id_63,18.4947163348
id_64,17.6931323863
id_65,30.856461876
id_66,32.7659681308
id_67,19.8136640424
id_68,41.8156708447
id_69,11.6073658506
id_70,17.6479063674
id_71,24.5029854188
id_72,38.4725732468
id_73,13.9481160303
id_74,54.3211280601
id_75,51.5011469331
id_76,8.72583120291
id_77,36.2836250768
id_78,69.3166334406
id_79,34.3895720418
id_80,56.8380738798
id_81,30.4425038166
id_82,15.044007407
id_83,27.053829299
id_84,16.2490329234
id_85,12.8211028144
id_86,26.0279280387
id_87,78.4671533599
id_88,24.3681162348
id_89,38.0104443233
id_90,21.5102928091
id_91,48.2936918745
id_92,47.535878218
id_93,11.9769299985
id_94,23.1160278988
id_95,30.6028861977
id_96,27.7454810997
id_97,6.78666632135
id_98,16.9712854912
id_99,27.7544577735
id_100,22.6781001615
id_101,41.7861031723
id_102,22.2208732723
id_103,31.0277991746
id_104,28.4375049791
id_105,27.2357582027
id_106,20.9128208374
id_107,37.4598104701
id_108,13.6698380372
id_109,59.1779805767
id_110,23.938706689
id_111,58.2662871744
id_112,26.2261861436
id_113,31.7560684462
id_114,29.5132232386
id_115,34.5655214854
id_116,37.3773774084
id_117,21.8953036445
id_118,28.2667011045
id_119,45.9878930816
id_120,27.0340712364
id_121,35.9971296659
id_122,58.1361455141
id_123,10.5997789147
id_124,30.0874416627
id_125,8.73907987637
id_126,27.2602704065
id_127,14.248395998
id_128,23.7475193843
id_129,45.2095088564
id_130,11.5980552269
id_131,44.4146261516
id_132,22.9150314976
id_133,10.1751001603
id_134,20.680095531
id_135,29.9658464594
id_136,58.2271987309
id_137,72.2694932814
id_138,22.8730610619
id_139,41.0595673529
id_140,59.9364477776
id_141,14.4459456539
id_142,44.1679876905
id_143,25.3362293278
id_144,35.6442453197
id_145,10.837042402
id_146,31.50543784
id_147,39.171199829
id_148,29.146214779
id_149,20.4288221796
id_150,24.8467577888
id_151,31.3139851791
id_152,50.5821174493
id_153,19.2016831295
id_154,13.167706935
id_155,43.6698408386
id_156,17.74282458
id_157,21.8502086925
id_158,39.6015042585
id_159,31.7490840979
id_160,13.3264554144
id_161,84.3372486071
id_162,60.2228485229
id_163,48.1668720315
id_164,34.4307749084
id_165,31.9603021859
id_166,44.8494067548
id_167,46.3993794539
id_168,13.8284191846
id_169,31.4949604676
id_170,24.581803514
id_171,22.9960954521
id_172,34.084359501
id_173,41.2566447154
id_174,65.8739465521
id_175,43.6920924255
id_176,19.7999576473
id_177,32.7157748686
id_178,56.9262019376
id_179,30.3679385915
id_180,16.3565662166
id_181,42.9451531367
id_182,17.5139318987
id_183,47.7268908742
id_184,24.9991590457
id_185,39.8085698249
id_186,33.1020710419
id_187,38.1961797197
id_188,55.1237677227
id_189,49.4282398494
id_190,13.241598007
id_191,18.6370549854
id_192,25.345590615
id_193,33.707700411
id_194,25.6738647438
id_195,16.6328336844
id_196,11.3501875232
id_197,17.6060084387
id_198,27.7629832061
id_199,13.9548703196
id_200,13.7061331415
id_201,22.2369070199
id_202,39.5766670365
id_203,58.9186046555
id_204,16.6073681559
id_205,23.2627351599
id_206,34.577386741
id_207,40.1600995756
id_208,25.6429959978
id_209,24.6296562921
id_210,36.9786152731
id_211,40.0760263804
id_212,41.9729395895
id_213,14.502773578
id_214,22.3207707359
id_215,8.72706429033
id_216,43.7762304446
id_217,10.6608505478
id_218,34.0380544372
id_219,80.8992925576
id_220,49.4172563743
id_221,22.2640864332
id_222,38.6418832882
id_223,69.9665102873
id_224,28.6162588888
