id,value
id_0,29.4387209029
id_1,13.8979110102
id_2,13.6409650668
id_3,16.3168894507
id_4,21.8487476895
id_5,91.7085028488
id_6,40.3731473036
id_7,25.5895824332
id_8,41.6095794429
id_9,17.3569794183
id_10,27.7347811361
id_11,29.6740073194
id_12,33.0989591598
id_13,12.2018367708
id_14,19.8712723297
id_15,59.0513094581
id_16,26.7510532447
id_17,54.0920934365
id_18,19.6144826931
id_19,11.3182587277
id_20,13.4312157907
id_21,22.6875070669
id_22,43.2141450258
id_23,34.4140791295
id_24,12.5095010227
id_25,12.6685357043
id_26,38.7052446949
id_27,37.1133115629
id_28,42.5444856325
id_29,14.6710970615
id_30,19.1525708682
id_31,31.5556692963
id_32,32.6130597196
id_33,24.8085855868
id_34,58.3199321593
id_35,32.0283985582
id_36,14.2865472142
id_37,33.3136646119
id_38,21.7664188695
id_39,5.78263574261
id_40,25.9803504156
id_41,5.40092118306
id_42,42.7042795981
id_43,32.4103142361
id_44,25.1635471019
id_45,32.1127800959
id_46,36.0284195121
id_47,20.2975224481
id_48,26.9445850741
id_49,39.6452461828
id_50,19.7986912207
id_51,38.9559625309
id_52,27.4975788137
id_53,26.6118901095
id_54,13.4874491145
id_55,19.4275263637
id_56,33.4467379323
id_57,22.6983421169
id_58,33.1913870683
id_59,9.35170897794
id_60,53.7778972424
id_61,76.9474949318
id_62,23.1732060151
id_63,14.6060471199
id_64,20.6168290701
id_65,31.2860988001
id_66,24.7898537344
id_67,23.6713302575
id_68,31.1540058382
id_69,12.6794860434
id_70,14.146808665
id_71,17.3490314164
id_72,34.6334529266
id_73,14.662755458
id_74,67.0275709469
id_75,54.6384593019
id_76,8.22337395015
id_77,45.065233748
id_78,63.9248808534
id_79,28.07089937
id_80,66.8125529429
id_81,31.2722509602
id_82,12.0876175251
id_83,24.6826625138
id_84,14.0037297183
id_85,8.81512370122
id_86,31.8301480969
id_87,78.8509734723
id_88,23.074790143
id_89,43.721710126
id_90,24.1496752417
id_91,41.6505523402
id_92,44.9283693073
id_93,9.60341456788
id_94,18.0150884929
id_95,31.2872373749
id_96,23.4460560829
id_97,6.48449496705
id_98,14.8174156964
id_99,22.7435660382
id_100,17.4810021237
id_101,38.6063779227
id_102,24.8341671353
id_103,28.1951611943
id_104,28.8200496835
id_105,25.6800171617
id_106,22.9173926938
id_107,39.1958601734
id_108,14.461608352
id_109,63.01804017
id_110,15.9567858061
id_111,50.6376846072
id_112,23.1141305161
id_113,31.6494286713
id_114,30.4398761355
id_115,33.0289171122
id_116,42.3666823606
id_117,20.0413079071
id_118,24.9068354652
id_119,39.4102213359
id_120,21.8055479125
id_121,33.7146629364
id_122,66.7277419645
id_123,11.879085625
id_124,32.9315116238
id_125,7.35647249854
id_126,26.2485474668
id_127,23.495322656
id_128,23.4697696346
id_129,52.4070077564
id_130,12.790026492
id_131,43.706939034
id_132,15.430072015
id_133,8.4778855664
id_134,17.4077066997
id_135,27.4598442918
id_136,43.0886976646
id_137,60.2983066018
id_138,20.6941103163
id_139,38.4691650394
id_140,60.9653744792
id_141,6.64299122402
id_142,28.1728915183
id_143,30.4159678183
id_144,38.8947136762
id_145,7.87461480879
id_146,33.3467412463
id_147,47.5033074905
id_148,31.1111214517
id_149,20.4540601223
id_150,42.2086459406
id_151,29.382817513
id_152,52.7234569151
id_153,13.7242946027
id_154,16.4674678375
id_155,51.8003137331
id_156,16.4267159107
id_157,15.1773613994
id_158,39.4641397765
id_159,29.7963384214
id_160,9.46545352077
id_161,75.4342415095
id_162,52.0840013363
id_163,41.0152100342
id_164,38.4208194603
id_165,42.3485082612
id_166,45.1721466732
id_167,47.7353042746
id_168,14.4777588034
id_169,26.3368320927
id_170,17.7741149292
id_171,16.6315679507
id_172,40.6023975067
id_173,41.8017957842
id_174,63.2180505108
id_175,38.7167036226
id_176,17.1772712864
id_177,34.1753243342
id_178,43.0429484472
id_179,27.0113980276
id_180,16.4228595518
id_181,51.213910737
id_182,19.5546642727
id_183,52.6678398533
id_184,27.4889036874
id_185,34.8636784888
id_186,34.0166933692
id_187,36.1074368977
id_188,58.6294968165
id_189,56.6916306364
id_190,14.3013365743
id_191,17.2550163958
id_192,24.1511908585
id_193,41.3221655519
id_194,20.8980192939
id_195,16.8967925879
id_196,10.8743984483
id_197,16.5570622734
id_198,31.2466920646
id_199,9.93715699385
id_200,10.9039321264
id_201,24.1892283905
id_202,38.5431856043
id_203,55.4222579259
id_204,26.5879628511
id_205,26.6767731227
id_206,23.6268182132
id_207,34.3718987159
id_208,21.7090072831
id_209,21.4359045648
id_210,37.2260265483
id_211,34.321100526
id_212,40.7334566405
id_213,27.2406634109
id_214,15.9891418866
id_215,9.15295188052
id_216,48.5097902101
id_217,11.605160132
id_218,35.0102909015
id_219,86.6006771506
id_220,52.6358663138
id_221,22.5380621856
id_222,41.6301897826
id_223,71.4573811605
id_224,26.7921663219
id_225,19.5939017202
id_226,15.7026034073
id_227,34.5944525693
id_228,27.6361243016
id_229,26.2564411716
id_230,15.2048552798
id_231,29.329086106
id_232,7.20021500228
id_233,22.3435761706
id_234,40.5070976179
id_235,25.2570567474
id_236,20.5049213907
id_237,9.70851261415
id_238,19.2631211893
id_239,22.0840888564
id_240,37.2768569628
id_241,60.6966696135
id_242,30.2086441462
id_243,42.1579182609
id_244,41.6989268824
id_245,51.2128447681
id_246,31.4042153165
id_247,36.5596268052
id_248,17.495815002
id_249,11.4467759052
id_250,11.4427292933
id_251,31.9810682016
id_252,15.3249021494
id_253,22.810891773
id_254,19.5677714138
id_255,19.0954473527
id_256,36.9430324115
id_257,4.67708671177
id_258,41.0175853681
id_259,27.9238098738
