"id,value"
id_0,36.292164
id_1,13.747543
id_2,9.153764
id_3,17.368786
id_4,27.964872
id_5,108.92469
id_6,32.69185
id_7,35.375004
id_8,39.792183
id_9,19.179005
id_10,25.567844
id_11,38.778557
id_12,40.05794
id_13,14.794579
id_14,24.048792
id_15,46.195118
id_16,32.26655
id_17,56.56822
id_18,22.046436
id_19,9.8879795
id_20,27.108576
id_21,29.836094
id_22,47.563305
id_23,44.481503
id_24,16.382456
id_25,12.52241
id_26,43.181957
id_27,34.32776
id_28,58.661106
id_29,15.816105
id_30,15.023727
id_31,40.654106
id_32,35.969208
id_33,27.395931
id_34,55.82467
id_35,36.873703
id_36,14.9148655
id_37,47.003696
id_38,22.31809
id_39,2.7469573
id_40,26.89968
id_41,4.896927
id_42,45.695232
id_43,32.17885
id_44,48.780876
id_45,39.30336
id_46,36.519974
id_47,25.020802
id_48,25.172403
id_49,55.209686
id_50,23.096712
id_51,46.76739
id_52,22.554413
id_53,31.13603
id_54,15.475365
id_55,31.368235
id_56,40.45186
id_57,25.33169
id_58,26.175688
id_59,11.047017
id_60,57.95572
id_61,86.67638
id_62,33.511642
id_63,20.990635
id_64,16.784662
id_65,39.330334
id_66,34.467026
id_67,15.215134
id_68,47.181103
id_69,8.202905
id_70,15.093845
id_71,21.008352
id_72,29.85563
id_73,14.491322
id_74,54.133556
id_75,63.188457
id_76,6.7456937
id_77,37.54578
id_78,72.15217
id_79,39.17734
id_80,54.609856
id_81,23.830755
id_82,12.478647
id_83,35.84743
id_84,13.69378
id_85,10.932697
id_86,31.315466
id_87,88.81092
id_88,27.282148
id_89,48.20187
id_90,21.608847
id_91,60.302048
id_92,55.78693
id_93,7.7318363
id_94,21.001638
id_95,27.656363
id_96,22.933287
id_97,2.0790184
id_98,16.663017
id_99,33.19938
id_100,21.401495
id_101,46.916958
id_102,30.789635
id_103,33.04912
id_104,32.870045
id_105,27.473585
id_106,18.43502
id_107,39.830288
id_108,10.5681305
id_109,71.54588
id_110,28.350218
id_111,67.074356
id_112,21.188417
id_113,26.044868
id_114,27.944378
id_115,34.721992
id_116,39.327526
id_117,22.680079
id_118,27.967533
id_119,45.382168
id_120,23.585497
id_121,35.91992
id_122,68.61392
id_123,6.672879
id_124,37.083633
id_125,4.6249013
id_126,31.269228
id_127,19.68078
id_128,27.328493
id_129,50.656536
id_130,8.0773115
id_131,49.595047
id_132,18.137539
id_133,5.687106
id_134,21.72008
id_135,30.072306
id_136,66.708336
id_137,89.48447
id_138,26.21752
id_139,52.18283
id_140,74.70584
id_141,13.974983
id_142,38.038498
id_143,31.35593
id_144,31.81019
id_145,11.699009
id_146,33.578968
id_147,47.01513
id_148,31.193575
id_149,18.286142
id_150,45.876183
id_151,33.79169
id_152,58.56084
id_153,21.803808
id_154,13.362341
id_155,61.126522
id_156,14.632583
id_157,23.098732
id_158,43.09034
id_159,25.877382
id_160,12.175408
id_161,100.36174
id_162,56.96186
id_163,34.553482
id_164,37.852802
id_165,37.8027
id_166,50.06629
id_167,53.4331
id_168,12.464473
id_169,23.791193
id_170,29.788168
id_171,28.211626
id_172,30.748707
id_173,41.785404
id_174,87.05205
id_175,48.146515
id_176,18.550234
id_177,28.555157
id_178,54.11833
id_179,25.865229
id_180,14.502914
id_181,35.009007
id_182,23.151588
id_183,34.347965
id_184,15.966009
id_185,36.683735
id_186,35.746223
id_187,44.782265
id_188,71.58874
id_189,57.492336
id_190,8.0176935
id_191,22.512922
id_192,18.538454
id_193,35.3617
id_194,23.485792
id_195,15.449556
id_196,12.641033
id_197,14.535521
id_198,24.962332
id_199,12.110174
id_200,8.602189
id_201,27.368444
id_202,25.046055
id_203,70.07163
id_204,3.7199001
id_205,20.772263
id_206,55.17284
id_207,46.23593
id_208,22.222519
id_209,27.711832
id_210,45.228977
id_211,34.03512
id_212,34.093925
id_213,6.4984465
id_214,12.626359
id_215,5.5415864
id_216,50.31626
id_217,7.595516
id_218,34.25765
id_219,95.60821
id_220,52.457634
id_221,19.39203
id_222,38.214054
id_223,88.17949
id_224,30.24219
id_225,20.633743
id_226,13.256298
id_227,44.449375
id_228,34.273697
id_229,31.735796
id_230,10.001087
id_231,31.177496
id_232,0.8616768
id_233,30.706213
id_234,57.594505
id_235,22.633722
id_236,15.693005
id_237,14.419537
id_238,15.523954
id_239,30.206396
id_240,28.622648
id_241,72.90977
id_242,35.22392
id_243,33.229454
id_244,57.431004
id_245,48.904095
id_246,40.007565
id_247,44.45993
id_248,19.439327
id_249,5.6584167
id_250,13.133102
id_251,36.69795
id_252,12.166482
id_253,24.35584
id_254,19.204515
id_255,30.077822
id_256,39.72768
id_257,3.3581657
id_258,33.978954
id_259,36.60601
