id,value
id_0,37.648117
id_1,14.50789
id_2,2.0721903
id_3,19.527649
id_4,24.552422
id_5,103.58456
id_6,24.914963
id_7,34.716545
id_8,37.289177
id_9,16.096794
id_10,18.244446
id_11,40.45936
id_12,42.784164
id_13,10.914384
id_14,28.6539
id_15,34.861267
id_16,33.53044
id_17,51.795937
id_18,21.162266
id_19,5.3223963
id_20,35.44452
id_21,32.272003
id_22,51.87548
id_23,48.367493
id_24,18.429089
id_25,8.717759
id_26,40.43972
id_27,30.944595
id_28,60.604668
id_29,16.839947
id_30,12.211579
id_31,45.703423
id_32,36.335785
id_33,20.445557
id_34,44.364723
id_35,36.193718
id_36,13.4783945
id_37,51.73356
id_38,28.288292
id_39,0.0
id_40,23.537682
id_41,7.1377764
id_42,47.12092
id_43,36.671234
id_44,57.662193
id_45,45.028446
id_46,33.75155
id_47,23.761475
id_48,21.173485
id_49,59.28055
id_50,25.711761
id_51,48.48651
id_52,18.471687
id_53,37.176384
id_54,16.23066
id_55,41.977448
id_56,42.53022
id_57,18.060768
id_58,20.374367
id_59,5.6043863
id_60,53.961388
id_61,80.40766
id_62,38.230286
id_63,22.47609
id_64,14.293828
id_65,33.700478
id_66,65.41338
id_67,8.597997
id_68,61.71341
id_69,7.7350035
id_70,12.990151
id_71,21.598045
id_72,23.38696
id_73,15.05753
id_74,39.87066
id_75,61.023537
id_76,0.7696924
id_77,30.095787
id_78,68.46392
id_79,43.699135
id_80,40.047142
id_81,10.635369
id_82,9.032998
id_83,39.693184
id_84,10.599648
id_85,12.8746
id_86,28.204483
id_87,84.47755
id_88,29.336517
id_89,45.49549
id_90,14.048493
id_91,70.708084
id_92,62.33555
id_93,9.267369
id_94,23.079483
id_95,22.512638
id_96,20.116806
id_97,0.0
id_98,10.981671
id_99,34.420296
id_100,20.624535
id_101,48.965446
id_102,33.012157
id_103,29.655113
id_104,33.444496
id_105,27.027412
id_106,13.930604
id_107,34.72789
id_108,3.9801493
id_109,65.67315
id_110,31.572842
id_111,71.44753
id_112,24.522835
id_113,20.668804
id_114,21.549614
id_115,35.66739
id_116,33.65458
id_117,24.664566
id_118,30.514503
id_119,42.206856
id_120,24.304962
id_121,35.640152
id_122,58.248924
id_123,1.1591578
id_124,34.225533
id_125,4.993392
id_126,31.817863
id_127,15.770822
id_128,27.430882
id_129,44.462883
id_130,0.36023808
id_131,49.524483
id_132,19.59121
id_133,5.939496
id_134,20.324402
id_135,30.322517
id_136,74.38798
id_137,101.15458
id_138,21.220848
id_139,57.230537
id_140,73.88184
id_141,20.425964
id_142,75.60352
id_143,30.105587
id_144,26.808464
id_145,12.655927
id_146,34.56992
id_147,40.571274
id_148,27.463776
id_149,14.843724
id_150,40.265083
id_151,29.694801
id_152,54.501045
id_153,24.156502
id_154,6.902482
id_155,60.792763
id_156,12.105714
id_157,29.005478
id_158,45.066475
id_159,20.950157
id_160,12.734994
id_161,102.7925
id_162,46.441696
id_163,34.030243
id_164,37.4367
id_165,31.054497
id_166,53.49534
id_167,49.847816
id_168,14.082112
id_169,21.640099
id_170,33.042755
id_171,31.862793
id_172,19.866692
id_173,39.576355
id_174,89.07226
id_175,50.101135
id_176,21.017532
id_177,22.83715
id_178,110.37728
id_179,25.154709
id_180,12.913619
id_181,20.281876
id_182,23.198555
id_183,18.650063
id_184,6.437726
id_185,34.645218
id_186,33.86428
id_187,42.303177
id_188,70.68821
id_189,53.74952
id_190,2.2772799
id_191,23.167847
id_192,15.543141
id_193,29.637512
id_194,24.645256
id_195,13.740628
id_196,9.869607
id_197,14.500058
id_198,17.822525
id_199,11.302773
id_200,11.659865
id_201,22.498077
id_202,49.77784
id_203,74.54232
id_204,14.762807
id_205,16.38758
id_206,69.7008
id_207,46.71367
id_208,18.558105
id_209,28.489174
id_210,51.962578
id_211,30.06134
id_212,27.362427
id_213,13.638497
id_214,10.524413
id_215,1.3829966
id_216,47.72814
id_217,1.4374361
id_218,32.287895
id_219,86.52088
id_220,44.82789
id_221,18.067345
id_222,33.658554
id_223,87.499535
id_224,26.914104
id_225,10.944528
id_226,11.000031
id_227,53.50631
id_228,35.963303
id_229,31.626293
id_230,8.727738
id_231,31.631104
id_232,7.2550287
id_233,32.831917
id_234,69.024925
id_235,20.589123
id_236,13.62288
id_237,10.644753
id_238,13.954576
id_239,34.01119
id_240,17.218529
id_241,76.59321
id_242,36.38064
id_243,23.231796
id_244,56.476753
id_245,28.521538
id_246,48.253304
id_247,46.478615
id_248,19.695919
id_249,1.5278673
id_250,14.686467
id_251,40.677666
id_252,14.511846
id_253,23.588314
id_254,19.392048
id_255,36.400345
id_256,38.178078
id_257,7.564145
id_258,27.062027
id_259,39.478035
