id,value
id_0,37.977657
id_1,13.74256
id_2,4.8526754
id_3,19.562363
id_4,28.552439
id_5,113.106865
id_6,25.496883
id_7,36.619106
id_8,42.316456
id_9,18.557535
id_10,25.08553
id_11,42.183777
id_12,41.900692
id_13,14.342672
id_14,26.465174
id_15,39.16232
id_16,33.859127
id_17,52.310658
id_18,20.835663
id_19,10.127867
id_20,33.84667
id_21,31.19434
id_22,50.685806
id_23,47.99976
id_24,19.552713
id_25,12.30474
id_26,43.58202
id_27,34.64076
id_28,61.699566
id_29,15.70436
id_30,13.440049
id_31,45.518105
id_32,36.94379
id_33,27.16633
id_34,48.155315
id_35,36.612255
id_36,14.803795
id_37,50.231636
id_38,22.19728
id_39,2.7281861
id_40,27.184237
id_41,6.072083
id_42,44.683556
id_43,40.59235
id_44,57.666378
id_45,40.069904
id_46,36.84315
id_47,23.792763
id_48,23.312883
id_49,62.652805
id_50,26.358496
id_51,46.058445
id_52,17.690706
id_53,30.133366
id_54,18.046688
id_55,38.23715
id_56,41.39809
id_57,26.547901
id_58,21.144571
id_59,11.066143
id_60,55.36063
id_61,87.97157
id_62,35.723896
id_63,22.963175
id_64,12.156168
id_65,40.093685
id_66,45.435978
id_67,8.961104
id_68,52.490765
id_69,5.620811
id_70,16.007177
id_71,16.645157
id_72,24.798864
id_73,13.711589
id_74,44.307957
id_75,65.51321
id_76,6.2444987
id_77,33.794506
id_78,74.04905
id_79,42.849705
id_80,43.70512
id_81,19.919825
id_82,12.686034
id_83,37.695553
id_84,12.159653
id_85,13.251082
id_86,31.749727
id_87,90.82792
id_88,29.081419
id_89,48.17571
id_90,16.692444
id_91,65.372955
id_92,55.54472
id_93,7.2521095
id_94,20.600517
id_95,23.834326
id_96,21.064224
id_97,2.5371032
id_98,15.794829
id_99,36.448433
id_100,22.948606
id_101,46.409824
id_102,33.801754
id_103,32.763012
id_104,33.643684
id_105,27.207083
id_106,15.932061
id_107,37.007343
id_108,8.912872
id_109,69.92637
id_110,32.7464
id_111,70.60844
id_112,19.866219
id_113,23.951117
id_114,24.771936
id_115,33.184826
id_116,33.840473
id_117,22.076208
id_118,28.074907
id_119,43.834362
id_120,24.106426
id_121,35.650955
id_122,64.85934
id_123,4.795941
id_124,35.220497
id_125,5.825331
id_126,31.00839
id_127,16.897345
id_128,26.32929
id_129,46.74994
id_130,5.019568
id_131,48.47327
id_132,19.746622
id_133,6.6018605
id_134,23.020275
id_135,30.201204
id_136,72.388794
id_137,96.148125
id_138,27.672369
id_139,58.23255
id_140,80.292175
id_141,18.755928
id_142,48.51295
id_143,31.341879
id_144,28.917456
id_145,14.507815
id_146,35.19939
id_147,43.78499
id_148,30.725798
id_149,15.299449
id_150,44.407536
id_151,35.60586
id_152,56.740017
id_153,25.917206
id_154,11.129833
id_155,62.613113
id_156,12.63517
id_157,27.303856
id_158,43.37789
id_159,21.325989
id_160,14.454232
id_161,107.642715
id_162,52.892113
id_163,30.858145
id_164,36.74208
id_165,32.558853
id_166,47.18298
id_167,52.49705
id_168,13.664656
id_169,21.716913
id_170,33.746387
id_171,32.763184
id_172,20.88083
id_173,39.34853
id_174,94.042336
id_175,51.07386
id_176,18.691257
id_177,22.226017
id_178,71.7821
id_179,26.881483
id_180,14.0172615
id_181,20.919477
id_182,23.11975
id_183,26.282412
id_184,8.62983
id_185,37.383907
id_186,35.249966
id_187,46.265507
id_188,75.830574
id_189,54.843918
id_190,4.6197095
id_191,25.318308
id_192,16.944214
id_193,31.115526
id_194,26.301954
id_195,13.819646
id_196,15.088962
id_197,14.225595
id_198,20.243578
id_199,11.969263
id_200,9.313377
id_201,27.672922
id_202,16.382383
id_203,70.550674
id_204,-15.881888
id_205,17.364582
id_206,66.03397
id_207,48.329193
id_208,21.051367
id_209,29.50632
id_210,49.76063
id_211,31.530098
id_212,28.099583
id_213,-21.960499
id_214,9.105004
id_215,4.1986556
id_216,46.662
id_217,6.325073
id_218,31.824839
id_219,90.75058
id_220,46.391945
id_221,18.16678
id_222,35.85957
id_223,86.19745
id_224,29.052935
id_225,18.392694
id_226,12.538846
id_227,48.647694
id_228,35.636246
id_229,31.324434
id_230,9.39419
id_231,31.948309
id_232,-4.916721
id_233,33.522434
id_234,64.98265
id_235,19.938166
id_236,13.950083
id_237,14.697627
id_238,15.621215
id_239,33.988525
id_240,20.368425
id_241,75.2815
id_242,37.85776
id_243,26.317902
id_244,58.95934
id_245,34.615612
id_246,43.112583
id_247,44.45033
id_248,21.145517
id_249,3.16196
id_250,15.097962
id_251,38.03798
id_252,11.616005
id_253,25.118378
id_254,18.91292
id_255,34.79658
id_256,37.991962
id_257,4.636029
id_258,26.505901
id_259,39.26273
