id,value
id_0,37.714706
id_1,12.907715
id_2,8.702913
id_3,15.353424
id_4,27.168957
id_5,110.80088
id_6,29.98581
id_7,37.36131
id_8,41.187634
id_9,19.965008
id_10,26.84422
id_11,40.669704
id_12,40.22752
id_13,14.80975
id_14,23.32799
id_15,42.276157
id_16,32.013416
id_17,52.72201
id_18,22.7982
id_19,9.356768
id_20,29.534557
id_21,32.308273
id_22,48.651154
id_23,45.28654
id_24,17.324596
id_25,12.668865
id_26,44.630844
id_27,33.83321
id_28,65.04285
id_29,17.026981
id_30,13.252508
id_31,43.2015
id_32,35.591564
id_33,31.228004
id_34,54.26733
id_35,36.107548
id_36,13.767109
id_37,49.43599
id_38,21.0548
id_39,2.0870786
id_40,24.518116
id_41,3.7488942
id_42,44.73755
id_43,32.83898
id_44,55.886143
id_45,41.051033
id_46,36.141296
id_47,23.314693
id_48,22.456463
id_49,59.797787
id_50,24.76411
id_51,50.224926
id_52,19.683708
id_53,31.0724
id_54,15.468534
id_55,34.799683
id_56,43.462643
id_57,25.75703
id_58,25.23106
id_59,12.40287
id_60,57.44238
id_61,87.05122
id_62,35.59306
id_63,20.620537
id_64,16.254505
id_65,42.617878
id_66,40.98949
id_67,16.416061
id_68,52.381943
id_69,8.568743
id_70,13.432226
id_71,22.56422
id_72,29.146053
id_73,14.201359
id_74,48.598843
id_75,62.536793
id_76,7.4814153
id_77,38.326847
id_78,74.88656
id_79,41.808674
id_80,47.975018
id_81,20.861942
id_82,12.964563
id_83,39.135223
id_84,12.821243
id_85,10.306122
id_86,29.991653
id_87,88.74669
id_88,27.384502
id_89,47.62749
id_90,22.96251
id_91,63.174183
id_92,57.763187
id_93,6.1056724
id_94,21.376244
id_95,29.141201
id_96,22.531036
id_97,1.7655149
id_98,17.632856
id_99,35.434704
id_100,22.30154
id_101,48.29047
id_102,31.860088
id_103,33.163074
id_104,34.342487
id_105,27.032825
id_106,16.444263
id_107,37.406227
id_108,9.387163
id_109,71.71982
id_110,30.508698
id_111,68.44029
id_112,20.117199
id_113,22.744173
id_114,25.416555
id_115,34.785557
id_116,34.76517
id_117,24.416193
id_118,25.983727
id_119,43.84976
id_120,24.389887
id_121,37.855694
id_122,64.856926
id_123,3.9512486
id_124,39.112232
id_125,4.0026746
id_126,29.444298
id_127,17.881016
id_128,27.069313
id_129,50.416077
id_130,6.6839347
id_131,46.515427
id_132,16.913792
id_133,5.9700074
id_134,22.778954
id_135,27.804874
id_136,74.305405
id_137,96.165085
id_138,28.68924
id_139,54.400906
id_140,76.65845
id_141,15.713696
id_142,41.92333
id_143,32.42113
id_144,30.060875
id_145,13.383495
id_146,36.389874
id_147,48.23379
id_148,30.67289
id_149,18.525349
id_150,46.088993
id_151,34.63933
id_152,60.125416
id_153,23.810093
id_154,11.225216
id_155,62.14645
id_156,13.42477
id_157,25.576462
id_158,41.345398
id_159,26.127697
id_160,11.999985
id_161,105.23707
id_162,56.670666
id_163,32.631573
id_164,36.490074
id_165,35.824295
id_166,50.78653
id_167,55.890305
id_168,11.960684
id_169,22.501638
id_170,32.513924
id_171,30.338627
id_172,27.125797
id_173,39.19177
id_174,86.063255
id_175,51.393
id_176,18.501059
id_177,24.564835
id_178,66.996
id_179,26.856678
id_180,14.782623
id_181,31.373806
id_182,24.82667
id_183,32.93755
id_184,14.07663
id_185,26.213669
id_186,36.49882
id_187,46.296
id_188,71.678566
id_189,54.50525
id_190,7.451978
id_191,23.179834
id_192,16.807348
id_193,32.25296
id_194,26.211319
id_195,14.22015
id_196,13.500534
id_197,13.6365795
id_198,22.652138
id_199,12.372635
id_200,7.703632
id_201,29.083202
id_202,25.34963
id_203,72.3804
id_204,21.781326
id_205,18.865164
id_206,62.321217
id_207,47.98168
id_208,23.463732
id_209,27.998455
id_210,51.40617
id_211,35.159683
id_212,31.740673
id_213,32.31429
id_214,12.566523
id_215,6.1506257
id_216,44.850613
id_217,6.3057694
id_218,33.105423
id_219,96.41918
id_220,52.14016
id_221,17.82696
id_222,37.557568
id_223,86.51165
id_224,31.152946
id_225,16.571648
id_226,14.024887
id_227,47.592144
id_228,33.434715
id_229,34.146156
id_230,8.64781
id_231,31.388893
id_232,8.653225
id_233,33.367172
id_234,63.655254
id_235,22.153778
id_236,15.862207
id_237,14.641527
id_238,14.036663
id_239,31.670948
id_240,26.17773
id_241,73.797104
id_242,36.209343
id_243,32.30021
id_244,61.943096
id_245,42.37232
id_246,40.628517
id_247,47.03271
id_248,18.64913
id_249,5.678765
id_250,12.997711
id_251,37.932713
id_252,10.648968
id_253,22.454132
id_254,17.103828
id_255,31.749435
id_256,37.969643
id_257,2.3849683
id_258,30.668194
id_259,39.617294
