id,value
id_0,40.53324
id_1,14.310951
id_2,3.9982536
id_3,18.860401
id_4,26.186455
id_5,115.036354
id_6,25.540031
id_7,34.60425
id_8,44.36676
id_9,17.273546
id_10,25.03413
id_11,42.58486
id_12,41.19541
id_13,12.936429
id_14,27.403605
id_15,41.517006
id_16,33.36447
id_17,51.965073
id_18,21.12279
id_19,7.927328
id_20,33.915276
id_21,29.818886
id_22,49.631126
id_23,47.145725
id_24,20.409016
id_25,12.32399
id_26,45.18655
id_27,38.014942
id_28,62.688183
id_29,16.9818
id_30,14.820518
id_31,46.34597
id_32,37.446255
id_33,26.769781
id_34,49.746754
id_35,38.63761
id_36,14.877455
id_37,48.745155
id_38,24.61933
id_39,3.4142213
id_40,25.938982
id_41,7.0032854
id_42,46.078594
id_43,41.26747
id_44,57.055115
id_45,40.55728
id_46,37.812912
id_47,22.50325
id_48,23.983133
id_49,65.32261
id_50,28.103542
id_51,47.533096
id_52,17.608553
id_53,32.696617
id_54,17.429829
id_55,41.296444
id_56,40.992596
id_57,25.799261
id_58,23.96697
id_59,9.363356
id_60,55.659153
id_61,91.19215
id_62,35.92788
id_63,21.491098
id_64,12.531107
id_65,38.537254
id_66,59.00844
id_67,9.394901
id_68,55.65009
id_69,4.2551894
id_70,15.926342
id_71,16.289024
id_72,26.839062
id_73,15.321301
id_74,44.633617
id_75,66.84243
id_76,6.845476
id_77,36.50055
id_78,76.466484
id_79,42.858143
id_80,44.682846
id_81,18.106413
id_82,11.943174
id_83,37.283863
id_84,12.109808
id_85,14.251061
id_86,31.342016
id_87,93.81317
id_88,29.999893
id_89,48.53081
id_90,16.474241
id_91,66.887665
id_92,56.67834
id_93,8.406122
id_94,21.78253
id_95,24.1989
id_96,21.932272
id_97,1.3520178
id_98,14.366584
id_99,35.19425
id_100,21.491783
id_101,45.563107
id_102,33.9552
id_103,31.833214
id_104,33.852947
id_105,26.622671
id_106,16.201286
id_107,37.743282
id_108,8.419409
id_109,70.58346
id_110,31.25075
id_111,69.404594
id_112,21.9753
id_113,26.323887
id_114,24.642206
id_115,33.682617
id_116,32.39994
id_117,22.013327
id_118,27.993046
id_119,44.09636
id_120,25.670889
id_121,35.180805
id_122,66.76515
id_123,4.342538
id_124,34.93845
id_125,7.8482265
id_126,28.99098
id_127,16.826387
id_128,26.465967
id_129,48.651962
id_130,3.133966
id_131,46.54751
id_132,20.527834
id_133,6.8601174
id_134,23.695208
id_135,30.120764
id_136,71.31284
id_137,94.22677
id_138,26.430178
id_139,58.91058
id_140,81.15897
id_141,20.452713
id_142,63.86278
id_143,32.44043
id_144,31.416004
id_145,13.930864
id_146,36.407185
id_147,44.196445
id_148,32.378735
id_149,16.128155
id_150,45.823135
id_151,35.029186
id_152,58.64715
id_153,25.727203
id_154,9.76548
id_155,63.809288
id_156,12.253224
id_157,28.55073
id_158,44.750736
id_159,22.34998
id_160,13.911005
id_161,107.902275
id_162,51.899525
id_163,32.66256
id_164,37.32306
id_165,33.055107
id_166,49.850655
id_167,53.811428
id_168,14.559355
id_169,21.87501
id_170,34.12724
id_171,31.749313
id_172,19.780796
id_173,38.920204
id_174,95.054276
id_175,50.40494
id_176,19.646729
id_177,20.709158
id_178,98.259674
id_179,29.8966
id_180,15.871717
id_181,22.734205
id_182,22.668808
id_183,30.693827
id_184,9.870464
id_185,36.777878
id_186,35.332783
id_187,44.931107
id_188,77.087494
id_189,53.75089
id_190,4.987702
id_191,25.765247
id_192,18.916748
id_193,31.140173
id_194,29.02654
id_195,14.639696
id_196,14.370405
id_197,15.373328
id_198,21.244139
id_199,11.577026
id_200,10.913057
id_201,26.824265
id_202,29.966717
id_203,70.26771
id_204,-24.364998
id_205,17.942171
id_206,64.39314
id_207,46.989407
id_208,20.865808
id_209,30.003748
id_210,52.802505
id_211,34.379856
id_212,29.048256
id_213,-41.027008
id_214,11.087089
id_215,5.2165527
id_216,44.26371
id_217,5.811185
id_218,31.626987
id_219,89.98507
id_220,48.24933
id_221,18.762005
id_222,37.60681
id_223,81.81859
id_224,28.254313
id_225,14.59925
id_226,13.506163
id_227,51.402325
id_228,34.16651
id_229,31.463848
id_230,9.66425
id_231,31.852436
id_232,-9.895763
id_233,33.731567
id_234,66.423645
id_235,20.041689
id_236,15.640455
id_237,12.540292
id_238,15.974389
id_239,35.279495
id_240,19.91523
id_241,76.14152
id_242,39.19774
id_243,27.216955
id_244,56.079765
id_245,31.131615
id_246,43.825035
id_247,44.853653
id_248,21.308521
id_249,4.4292946
id_250,17.231337
id_251,38.86485
id_252,12.701345
id_253,26.332014
id_254,18.065266
id_255,33.36674
id_256,37.130733
id_257,5.928089
id_258,26.29879
id_259,38.905888
