id,value
id_0,40.6894944835
id_1,13.4282820483
id_2,8.84822469028
id_3,13.5796261975
id_4,25.8455519042
id_5,109.636295628
id_6,29.7832611373
id_7,36.0605967396
id_8,41.4839166309
id_9,20.4954527228
id_10,23.6735341536
id_11,41.3947228414
id_12,42.3247207895
id_13,14.7570719323
id_14,25.2945777683
id_15,41.525460117
id_16,35.3254045946
id_17,49.5610160807
id_18,24.7105195987
id_19,11.405319162
id_20,28.9996738585
id_21,34.6402769572
id_22,52.4247094808
id_23,48.0381741181
id_24,18.6094555509
id_25,11.6505413361
id_26,47.4775183268
id_27,30.9184500591
id_28,68.8374961048
id_29,17.1830945447
id_30,16.6446975101
id_31,44.526032154
id_32,34.3826284148
id_33,27.4618150427
id_34,55.3472435664
id_35,39.8947859561
id_36,12.2807052148
id_37,52.1449701536
id_38,22.1183762016
id_39,0.414932222955
id_40,22.0105413917
id_41,3.38857120186
id_42,45.4389614753
id_43,21.3949602326
id_44,54.1608762018
id_45,44.3470869231
id_46,35.7118603547
id_47,22.928374151
id_48,23.626682068
id_49,60.7221788917
id_50,22.0633218279
id_51,42.7203000545
id_52,19.8671697934
id_53,32.4730742862
id_54,14.8806261225
id_55,32.3350054279
id_56,42.9985435372
id_57,22.2194476784
id_58,24.775152126
id_59,15.0527987251
id_60,59.6922675724
id_61,87.8423678155
id_62,36.7786064676
id_63,23.2700066835
id_64,19.097024438
id_65,35.8080891076
id_66,54.4265732407
id_67,11.7669988801
id_68,53.1656451669
id_69,8.23613773754
id_70,11.4550596288
id_71,30.7575420796
id_72,32.3084131249
id_73,16.6732108062
id_74,44.4461530455
id_75,60.728409863
id_76,2.7085353771
id_77,37.4680245778
id_78,74.7301047002
id_79,39.6322616812
id_80,52.7415753304
id_81,19.0947136891
id_82,14.5948927568
id_83,34.7698988437
id_84,10.5042287157
id_85,9.40992131509
id_86,27.0925032691
id_87,87.980371114
id_88,28.9721560039
id_89,51.0457415769
id_90,19.0792710333
id_91,65.3445551895
id_92,58.6550540364
id_93,7.7071218112
id_94,21.7370564447
id_95,31.0141803079
id_96,23.4803635397
id_97,-2.67544980679
id_98,16.5418486655
id_99,36.6819007734
id_100,20.4305462406
id_101,48.0508910744
id_102,32.1036735489
id_103,34.4764851342
id_104,35.1268665825
id_105,30.6186913613
id_106,16.4231226824
id_107,39.0236802872
id_108,9.4245227631
id_109,75.0026697214
id_110,31.6072994696
id_111,69.1688969986
id_112,19.9551527866
id_113,23.4647961103
id_114,24.9327466787
id_115,35.5626973302
id_116,36.7318135827
id_117,27.1340218055
id_118,27.9417386688
id_119,42.8956633762
id_120,24.6470330748
id_121,36.545668694
id_122,62.2473835143
id_123,2.29925323548
id_124,38.4422590788
id_125,3.42652593585
id_126,31.0768578872
id_127,16.4067866927
id_128,30.0939262369
id_129,50.3240213034
id_130,5.63133052158
id_131,48.2060134391
id_132,20.2284688897
id_133,2.55680845454
id_134,21.2577655033
id_135,28.7613302291
id_136,72.6265567496
id_137,97.3786634179
id_138,26.4438410235
id_139,55.6285099439
id_140,75.5528039291
id_141,16.8694045218
id_142,60.4751710465
id_143,33.5537098803
id_144,32.1071128418
id_145,14.0280532717
id_146,37.5638633407
id_147,47.6765761598
id_148,32.1887153172
id_149,21.0710563407
id_150,47.4299639448
id_151,33.4793531284
id_152,58.5979404516
id_153,20.9686430594
id_154,12.0753347036
id_155,64.7671022689
id_156,14.0281395441
id_157,26.3872849629
id_158,42.804631112
id_159,26.4411466671
id_160,10.89859509
