id,value
id_0,37.002144
id_1,12.973245
id_2,9.523354
id_3,14.293775
id_4,28.031647
id_5,103.775986
id_6,28.379385
id_7,35.143482
id_8,39.97422
id_9,20.789795
id_10,26.732626
id_11,40.09267
id_12,39.519745
id_13,16.744307
id_14,23.994642
id_15,42.34728
id_16,32.87377
id_17,50.671326
id_18,23.643461
id_19,9.835927
id_20,27.453249
id_21,30.238136
id_22,48.717422
id_23,45.873325
id_24,17.286936
id_25,12.187093
id_26,46.193165
id_27,35.678474
id_28,59.900345
id_29,16.437237
id_30,14.247529
id_31,45.606915
id_32,35.141777
id_33,23.800661
id_34,52.895355
id_35,40.84285
id_36,13.576754
id_37,50.800167
id_38,21.012856
id_39,4.381077
id_40,26.366657
id_41,4.527904
id_42,44.756348
id_43,25.843489
id_44,53.59268
id_45,41.640587
id_46,35.824577
id_47,28.02263
id_48,23.954096
id_49,54.77568
id_50,21.063303
id_51,46.77202
id_52,18.775723
id_53,29.488447
id_54,14.467095
id_55,28.755308
id_56,41.48578
id_57,24.192225
id_58,27.120527
id_59,14.535607
id_60,58.40736
id_61,83.24661
id_62,37.100784
id_63,22.747065
id_64,19.164524
id_65,31.981363
id_66,36.46614
id_67,12.94117
id_68,47.347927
id_69,7.0591083
id_70,15.281812
id_71,28.455896
id_72,30.171766
id_73,13.273765
id_74,44.460884
id_75,57.47146
id_76,6.058231
id_77,40.30202
id_78,70.23979
id_79,38.45345
id_80,46.742165
id_81,23.932596
id_82,14.5778885
id_83,33.23688
id_84,10.895017
id_85,9.659776
id_86,25.707743
id_87,83.59628
id_88,28.839472
id_89,48.265095
id_90,9.087908
id_91,62.955807
id_92,57.92806
id_93,6.8221364
id_94,21.210348
id_95,18.744015
id_96,22.12423
id_97,11.633092
id_98,12.661125
id_99,36.34289
id_100,22.728642
id_101,50.134098
id_102,31.172089
id_103,35.73568
id_104,34.11903
id_105,27.584639
id_106,17.001318
id_107,36.470604
id_108,10.509361
id_109,71.69924
id_110,29.580795
id_111,68.63151
id_112,18.725027
id_113,22.34416
id_114,26.19375
id_115,34.42289
id_116,33.200123
id_117,25.72231
id_118,25.9512
id_119,45.238194
id_120,23.131002
id_121,30.685247
id_122,65.2112
id_123,6.254752
id_124,39.60837
id_125,4.0962405
id_126,27.799911
id_127,16.213951
id_128,27.228952
id_129,49.6138
id_130,6.7850122
id_131,46.678177
id_132,17.209257
id_133,2.898462
id_134,20.79996
id_135,27.155247
id_136,70.238846
id_137,90.85703
id_138,24.991756
id_139,50.532078
id_140,74.29117
id_141,15.257046
id_142,44.926594
id_143,31.1231
id_144,33.129074
id_145,14.368883
id_146,31.833933
id_147,48.69138
id_148,31.31379
id_149,19.820011
id_150,38.50699
id_151,35.95458
id_152,57.196793
id_153,20.925144
id_154,11.834333
id_155,56.78895
id_156,13.936248
id_157,23.1505
id_158,42.49174
id_159,24.437304
id_160,11.461855
id_161,100.15965
id_162,55.485622
id_163,31.289484
id_164,36.972393
id_165,34.652138
id_166,50.126186
id_167,57.21447
id_168,12.664005
id_169,24.213766
id_170,30.673483
id_171,30.003319
id_172,28.504578
id_173,43.490616
id_174,83.82793
id_175,53.386375
id_176,18.1319
id_177,23.642597
id_178,65.93991
id_179,27.171705
id_180,14.358982
id_181,27.572922
id_182,22.555532
id_183,31.889343
id_184,13.225385
id_185,36.825943
id_186,35.33422
id_187,46.79781
id_188,70.5943
id_189,57.83066
id_190,7.070873
id_191,19.232557
id_192,15.500163
id_193,31.797066
id_194,27.133013
id_195,15.032973
id_196,13.715954
id_197,14.395067
id_198,22.520456
id_199,12.977326
id_200,7.8865695
id_201,29.445288
id_202,23.06983
id_203,72.34923
id_204,31.05993
id_205,19.284351
id_206,62.799423
id_207,48.68416
id_208,25.816
id_209,27.868176
id_210,43.43687
id_211,33.87894
id_212,29.437157
id_213,38.11184
id_214,14.433921
id_215,7.022451
id_216,45.400146
id_217,7.2198305
id_218,33.53807
id_219,94.88079
id_220,50.561356
id_221,17.338549
id_222,36.783527
id_223,89.29901
id_224,27.314226
id_225,16.80601
id_226,16.481298
id_227,42.385735
id_228,34.539192
id_229,25.08689
id_230,9.957957
id_231,30.746424
id_232,10.080207
id_233,29.317179
id_234,61.442375
id_235,21.508757
id_236,16.058334
id_237,16.32767
id_238,12.779168
id_239,33.236843
id_240,26.443705
id_241,70.68111
id_242,37.42302
id_243,35.064095
id_244,58.29457
id_245,42.319145
id_246,41.96419
id_247,47.010796
id_248,19.24108
id_249,6.099344
id_250,14.116498
id_251,34.95481
id_252,12.085843
id_253,20.297293
id_254,16.400227
id_255,31.114122
id_256,36.326237
id_257,5.2843423
id_258,30.671864
id_259,39.506096
